"","ServiceStationName","Address"
"1199","Caltex Woolworths Chullora","97 Hume Highway, Chullora NSW 2190"
"1222","Caltex Woolworths Macquarie Fields","Brooks St (Glenquarie Shopping Centre), Macquarie Fields NSW 2564"
"1226","Caltex Woolworths Tura Beach","3-5 Tura Beach Drive (Cnr Sapphire Coast Drive), Tura Beach NSW 2548"
"1227","BP Parkes T/S","1-5 Forbes Road, PARKES NSW 2870"
"1230","BP Kennedy Drive","Cnr Kennedy Dve & Ducat St, Tweed Heads NSW 2485"
"1232","Metro Petroleum Fairy Meadow","16 Princes Highway, FAIRY MEADOW NSW 2519"
"1236","Speedway Green Valley","182 Green Valley Rd, Green Valley NSW 2168"
"1247","BP East End","46 Clarinda Street, Parkes NSW 2870"
"1252","BP Wollongbar Service Centre","22-24 Bruxner Hwy, Wollongbar NSW 2477"
"1254","Coles Express Wetherill Park","37 Elizabeth St (Cnr Victoria St), Wetherill Park NSW 2164"
"1255","Coles Express Parklea","484 Sunnyholt Road, Parklea NSW 2768"
"1256","7-Eleven Artarmon","477 Pacific Highway, Artarmon NSW 2064"
"1260","Killara Garage Pty Ltd","544 Pacific Hwy, Killara NSW 2071"
"1261","Independent Balgownie","99 Balgownie Road, Balgownie NSW 2519"
"1269","Speedway Birrong","1/158 Auburn Rd, Birrong NSW 2143"
"1279","Caltex Star Mart Wetherill Park","Cnr The Horsley Dr & Mcilwraith St, WETHERILL PARK NSW 2164"
"1281","Caltex Armidale","142 Miller Street, Armidale NSW 2350"
"1282","Caltex Eden","159 Imlay St, Eden NSW 2551"
"1283","Midtown Kandos","60 Davies Rd, KANDOS NSW 2848"
"1292","Budget Petrol","143 Concord Rd, North Strathfield NSW 2137"
"1296","Enhance Homebush","242 Parramatta Road, Homebush NSW 2140"
"1299","Independent Rankins Springs","20 Boomerang Street, Rankins Springs NSW 2669"
"1309","Caltex Tweed Heads West","96-98 Kennedy Dr Cnr Barrett St, Tweed Heads West NSW 2485"
"1310","BP Turramurra","213 Kissing Point Rd, Turramurra NSW 2074"
"1321","Metro Long Jetty","326 The Entrance Rd, LONG JETTY NSW 2261"
"1329","Speedway West Ryde","899 Victoria Road, West Ryde NSW 2114"
"1333","Independent Kandos","6 Ilford Rd, Kandos NSW 2848"
